customerID,TotalCharges,MonthlyCharges,Churn,processed_timestamp,bolt_id,processing_status
5063-IUOKK,265.75,19.75,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
6347-DCUIK,811.8,74.15,Yes,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
5433-KYGHE,1164.05,86.0,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
9233-PSYHO,4459.8,100.15,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
5940-AHUHD,70.6,70.6,Yes,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
5014-GSOUQ,243.65,19.95,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
5871-DGTXZ,607.7,19.8,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
8961-QDZZJ,5535.8,95.0,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
5533-RJFTJ,1453.1,30.2,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
4587-VVTOX,545.2,105.3,Yes,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
9489-DEDVP,4872.35,69.2,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
7968-QUXNS,110.15,18.95,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
7636-PEPNS,2413.05,44.1,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
0121-SNYRK,1748.9,35.4,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
1813-JLKWR,1336.65,19.8,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
7080-TNUWP,6602.9,95.0,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
0916-QOFDP,1346.3,95.8,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
0447-RXSGD,2404.85,99.65,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
4623-ZKHLY,471.55,20.45,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
7408-OFWXJ,6510.45,89.8,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
1386-ZIKUV,130.55,18.95,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
7551-DACSP,324.25,55.3,Yes,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
2842-JTCCU,80.35,46.05,Yes,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
2351-BKRZW,3254.35,75.2,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
0786-IVLAW,7238.6,108.1,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
2608-BHKFN,266.9,70.05,Yes,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
8577-QSOCG,746.05,20.2,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
9691-HKOVS,4916.95,90.15,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
4446-BZKHU,6281.45,105.55,Yes,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
8174-TBVCF,6859.05,94.8,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
0778-NELLA,296.1,34.7,Yes,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
5982-FPVQN,3532.85,95.15,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
3230-JCNZS,7061.65,99.0,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
0679-IDSTG,69.25,69.25,Yes,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
1265-HVPZB,3958.2,66.4,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
4903-UYAVB,126.05,19.35,Yes,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
8966-OIQHG,452.35,20.75,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
